upwind scheme
línguas naturais
ab initio
estados finitos
maus cheiros
ressonância magnética
'k pot
comércio eletrônico
rede neural
world wide
ciências matemáticas
nios ii
monte carlo
inteligência artificial
raciocínio baseado
data warehouse
et al.
inteligência artificial
últimas décadas
chave secreta
neurais artificiais
et al
inteira mista
algoritmos genéticos
equação constitutiva
seres humanos
dimensão fractal
data mining
máxima verossimilhança
algoritmos evolutivos
diferenciais parciais
interesses transversais
diz respeito
chave pública
diferenças finitas
expressão gênica
larga escala
última década
língua inglesa
língua portuguesa
revisão bibliográfica
computação gráfica
redes neurais
malha deslocada
formulações matemáticas
equações governantes
engenharia reversa
lógica clássica
embarcados críticos
medida f
equações diferenciais
superfícies livres
formato atributo-valor
memória compartilhada
neurais artificiais
espaços métricos
últimos anos
pequeno porte
robótica móvel
projeções multidimensionais
projeção multidimensional
veículos autônomos
escoamentos viscoelásticos
sistemas distribuídos
mídias sociais
comunidade científica
escoamentos incompressíveis
computação ubíqua
séries temporais
sendo assim
pontos interiores
estado emocional
outro lado
computadores pessoais
navegação autônoma
superfície livre
revisão sistemática
simular escoamentos
representações visuais
série temporal
trabalhos futuros
muitas vezes
programação concorrente
rede neural
código fonte
programas concorrentes
linear inteira
formulação matemática
otimização combinatória
computação reconfigurável
itens irregulares
mundo real
robô móvel
máquinas paralelas
grandes volumes
dar suporte
wide web
critério análise
soluções ótimas
enorme quantidade
interface gráfica
robôs móveis
web semântica
grandes quantidades
conhecimento prévio
agrupamento hierárquico
alta dimensionalidade
hardware reconfigurável
web services
produto final
dispositivos móveis
além disso
resultados experimentais
conhecimento adquirido
classificação semissupervisionada
programas oo
dar apoio
redes neurais
espaço métrico
código aberto
solução analítica
informações contextuais
resultados numéricos
aprendizado ativo
documentos textuais
agrupamento fuzzy
papel fundamental
aprendizado semissupervisionado
simulação distribuída
conhecimento extraído
web services
vêm sendo
estudo comparativo
computação paralela
baixo custo
trabalhos anteriores
grades computacionais
linguagem c
programação inteira
agentes móveis
sumarização automática
solução ótima
fundamental importância
vem sendo
algoritmo genético
serviços web
baixo nível
estudo empírico
imagens médicas
visão computacional
cada iteração
linguagem natural
máquina paralela
programação matemática
alto nível
exemplos rotulados
evolução temporal
algoritmos genéticos
restrições lineares
imagens aéreas
otimização linear
redes complexas
primeira etapa
alto grau
sistemas robóticos
sob demanda
poucos estudos
crescente interesse
algoritmo evolutivo
programação orientada
principal contribuição
redes sociais
aprendizado supervisionado
possível observar
tarefa complexa
servidores web
segunda ordem
primeira ordem
principais contribuições
grande porte
papel importante
simulação numérica
solução numérica
poder computacional
diversas áreas
modelos matemáticos
conjuntos fuzzy
método numérico
outras palavras
-- -
alto custo
tempo gasto
sistemas embarcados
teste estrutural
grandes bases
análise exploratória
programação linear
algoritmos evolutivos
modelos probabilísticos
classificação hierárquica
fazem uso
alta ordem
informações semânticas
extrair conhecimento
novas tecnologias
estudos experimentais
fazendo uso
modelo matemático
experimentos realizados
cada vez
programação dinâmica
propósito geral
tempo real
faz parte
tempo polinomial
grande variedade
três módulos
foco principal
cujo objetivo
grande quantidade
trabalhos relacionados
bom desempenho
pode levar
bons resultados
aplicações paralelas
nova versão
tempo médio
métodos heurísticos
métodos ágeis
novas funcionalidades
documentos multimídia
podem estar
avaliação experimental
análise bayesiana
software livre
alta resolução
muitos casos
sistema operacional
páginas web
duas etapas
discussão sobre
cada período
abordagem bayesiana
custo computacional
experimentais mostram
resultados obtidos
tarefa difícil
amplamente utilizados
diversos domínios
grande volume
geração automática
resultados alcançados
sido amplamente
computacionais distribuídos
espaço visual
estudo experimental
mestrado propõe
alguns casos
alguma forma
aplicações distribuídas
grande potencial
grandes conjuntos
grande desafio
vários tipos
aplicações hipermídia
menor custo
aspectos relacionados
faz uso
grande relevância
serviços web
dissertação apresenta
métodos estatísticos
desempenho superior
alto desempenho
grande importância
resultados satisfatórios
metodologia proposta
duas abordagens
realizados experimentos
características extraídas
maior parte
recursos computacionais
melhores resultados
forma manual
boa qualidade
modelo conceitual
possível obter
extrair informações
sistemas distribuídos
obtidos mostram
trabalho investiga
imagens digitais
presente trabalho
dois níveis
sistemas lineares
nova técnica
sido propostos
dissertação propõe
obtidas através
outros tipos
diferentes tipos
métodos numéricos
